"id")","result","Score1","Score2","Frequency1","Frequency2","Amount","Net","LTV","Source","Gender","AgeRange","CustomerType"
"9172","0",38.1656,0,NA,NA,NA,0,2.35,2,"F","35_to_49",2
"9173","1",20.4667,3.3,22,NA,NA,1510,40.13,5,"F","35_to_49",4
"9174","0",31.1275,0,NA,NA,NA,17,2.21,2,"F","35_to_49",2
"9175","0",38.8823,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9176","0",33.9679,0,NA,NA,NA,828,14.26,2,"F","35_to_49",2
"9177","1",0.2653,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9178","0",59.0683,1.4,4,NA,NA,91,1.5,5,"I","",3
"9179","0",93.9659,5.7,91,3,44910,1284,602.06,1,"F","35_to_49",4
"9180","0",55.8671,0,NA,NA,NA,0,2.79,2,"F","50_to_59",2
"9181","1",40.0312,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9182","0",74.1521,0,NA,NA,NA,0,0,2,"M","18_to_34",1
"9183","0",25.4391,3.3,33,NA,NA,386,9.6,5,"F","35_to_49",4
"9184","1",59.0683,2.4,19,NA,NA,1819,29.6,5,"F","50_to_59",3
"9185","1",1.0932,0,NA,NA,NA,180,2.59,2,"F","35_to_49",2
"9186","1",0.2653,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9187","0",45.9156,2.4,25,NA,NA,809,13,5,"F","35_to_49",3
"9188","0",55.0507,7.7,222,5,12887,3363,184.21,5,"F","18_to_34",5
"9189","1",65.3079,7.1,203,3,9184,19384,439.66,5,"M","18_to_34",5
"9190","0",23.0048,0,NA,NA,NA,1101,20.34,2,"M","35_to_49",2
"9191","0",23.0498,0.5,1,NA,NA,96,1.56,5,"F","60_or_higher",3
"9192","1",53.1048,0,NA,NA,NA,223,3.64,2,"M","35_to_49",2
"9193","0",30.6057,0,NA,NA,NA,112,1.27,2,"M","35_to_49",2
"9194","0",75.4356,3.1,38,1,50,564,9.91,5,"F","35_to_49",4
"9195","1",50.6684,1.9,10,NA,NA,688,11.14,5,"F","35_to_49",3
"9196","0",40.0312,2.9,67,NA,NA,392,17.21,5,"M","35_to_49",3
"9197","0",19.9297,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"9198","1",37.7587,0,NA,NA,NA,653,21.47,2,"M","18_to_34",2
